title,author,journal,issn,volume,pages,date,display_date,doi,citations,year
Pragmatics and power,Harris S.,Journal of Pragmatics,03782166,23,117-135,1995-01-01,February 1995,10.1016/0378-2166(94)00008-3,51,1995
W-3. The effects of agrammatism on the lexical asymmetries in NP formation during sentence planning,Kohn S.,Brain and Cognition,02782626,30,280-283,1996-12-01,1996,NA,0,1996
F-7. Tactile neglect in the horizontal and radial dimensions,Cubelli R.,Brain and Cognition,02782626,30,390-393,1996-12-01,1996,NA,1,1996
T-10. The neural organization for sign language: Insights from right hemisphere damaged signers,Emmorey K.,Brain and Cognition,02782626,32,212-215,1996-12-01,1996,NA,1,1996
T-22. Tanzi's contribution to modern neuroscience,D'Angiulli A.,Brain and Cognition,02782626,32,252-254,1996-12-01,1996,NA,3,1996
F-4. Sustained mental workload in chronic patients with very severe concussions: A psychophysiological study of mental fatiguableness,Brouwer W.,Brain and Cognition,02782626,30,380-383,1996-12-01,1996,NA,1,1996
Hierarchical structure in schematic representations: Aspects of meaning in the cinematic shot,Landau I.,Journal of Pragmatics,03782166,26,737-766,1996-12-01,December 1996,10.1016/S0378-2166(96)00022-7,1,1996
Landmark stability: Further studies pointing to a role in spatial learning,Biegler R.,Quarterly Journal of Experimental Psychology Section B: Comparative and Physiological Psychology,02724995,49,307-345,1996-12-01,1996,NA,59,1996
T-8. Gestural imitation following stroke 4,Roy E.A.,Brain and Cognition,02782626,30,343-346,1996-12-01,1996,NA,6,1996
T-23. Increased nonverbal stroop interference in aging,Beauchemin M.,Brain and Cognition,02782626,32,255-257,1996-12-01,1996,NA,7,1996
The Stream of Consciousness: XII. Consciousness and Self-Awareness,Natsoulas T.,"Imagination, Cognition and Personality",02762366,16,161-180,1996-10-01,October 1996,10.2190/ERNY-JG2P-8D4U-35ML,10,1996
Developmental and Individual Differences in Children's Ability to Distinguish Reality from Fantasy,Dierker L.C.,"Imagination, Cognition and Personality",02762366,16,25-49,1996-09-01,September 1996,10.2190/KEKG-5P6C-G153-5E86,9,1996
"Effects of Post-Hypnotic Suggestions, Academic Incentives and Compliance to Authority on Students' Efforts to Remember",Dasgupta A.M.,"Imagination, Cognition and Personality",02762366,16,51-61,1996-09-01,September 1996,10.2190/GKVQ-LVY8-53FN-59E2,2,1996
Basic-level and superordinate-like categorical representations in early infancy,Behl-Chadha G.,Cognition,00100277,60,105-141,1996-08-02,2 August 1996,10.1016/0010-0277(96)00706-8,171,1996
Logical (versus Associative) Performance on Transitive Reasoning Tasks by Children: Implications for the Status of Animals' Performance,Russell J.,Quarterly Journal of Experimental Psychology Section B: Comparative and Physiological Psychology,02724995,49,231-244,1996-08-01,August 1996,NA,23,1996
Facilitation and Retardation of Flavour Aversion Conditioning Following prior Exposure to the CS,Bennett C.,Quarterly Journal of Experimental Psychology Section B: Comparative and Physiological Psychology,02724995,49,220-230,1996-08-01,August 1996,NA,14,1996
Stimulus Comparison and Perceptual Learning: Further Evidence and Evaluation from an Imprinting Procedure,Honey R.C.,Quarterly Journal of Experimental Psychology Section B: Comparative and Physiological Psychology,02724995,49,259-269,1996-08-01,August 1996,NA,51,1996
A Behavioural Preparation for the Study of Human Pavlovian Conditioning,Arcediano F.,Quarterly Journal of Experimental Psychology Section B: Comparative and Physiological Psychology,02724995,49,270-283,1996-08-01,August 1996,NA,71,1996
Lay Theories of Emotion: 1. Conceptualization and Measurement,Ben-Artzi E.,"Imagination, Cognition and Personality",02762366,15,249-271,1996-03-01,March 1996,10.2190/K8HB-D3PB-L5K7-MHE6,14,1996
The influence of planning and task type on second language performance,Foster P.,Studies in Second Language Acquisition,02722631,18,299-323,1996-01-01,1996,10.1017/S0272263100015047,642,1996
Explanation versus structured input in processing instruction,Vanpatten B.,Studies in Second Language Acquisition,02722631,18,495-510,1996-01-01,1996,10.1017/S0272263100015394,214,1996
Linguistic anchors in the sea of thought?,Clark A.,Pragmatics and Cognition,09290907,4,93-103,1996-01-01,1996,10.1075/pc.4.1.09cla,20,1996
Jackendoff on consciousness,Brook A.,Pragmatics and Cognition,09290907,4,81-92,1996-01-01,1996,10.1075/pc.4.1.08bro,1,1996
Ray jackendoff’s phenomenology of language as a refutation of the ‘appendage’ theory of consciousness,Ellis R.D.,Pragmatics and Cognition,09290907,4,125-137,1996-01-01,1996,10.1075/pc.4.1.11ell,5,1996
Pragmatics and the processing of metaphors: Category dissimilarity in topic and vehicle asymmetry,Katz A.,Pragmatics and Cognition,09290907,4,265-304,1996-01-01,1996,10.1075/pc.4.2.05kat,2,1996
Overruling rules?,Yovel J.,Pragmatics and Cognition,09290907,4,347-366,1996-01-01,1996,10.1075/pc.4.2.08yov,2,1996
The effects of L1 orthography on L2 word recognition: A study of American and Chinese learners of Japanese,Chikamatsu N.,Studies in Second Language Acquisition,02722631,18,403-432,1996-01-01,1996,10.1017/S0272263100015369,72,1996
How consciousness shapes language,Chafe W.,Pragmatics and Cognition,09290907,4,35-54,1996-01-01,1996,10.1075/pc.4.1.04cha,23,1996
Developing the ability to perform speech acts,Cohen A.D.,Studies in Second Language Acquisition,02722631,18,253-267,1996-01-01,1996,10.1017/S027226310001490X,88,1996
Developmental issues in interlanguage pragmatics,Kasper G.,Studies in Second Language Acquisition,02722631,18,149-169,1996-01-01,1996,10.1017/S0272263100014868,287,1996
Topic versus cohesion in the prediction of causal ordering in English conversation,Hardy D.E.,Discourse Processes,0163853X,21,237-254,1996-01-01,March/April 1996,10.1080/01638539609544957,4,1996
Reconsidering power and distance,Spencer-Oatey H.,Journal of Pragmatics,03782166,26,1-24,1996-01-01,July 1996,10.1016/0378-2166(95)00047-x,125,1996
Codeswitching in Memnesberget - Myth or reality?,Mæhlum B.,Journal of Pragmatics,03782166,25,749-761,1996-01-01,June 1996,10.1016/0378-2166(95)00027-5,14,1996
Identification of written discourse topics by structure coherence and analogy strategies: General aspects and individual differences,Giora R.,Journal of Pragmatics,03782166,26,455-474,1996-01-01,October 1996,10.1016/0378-2166(95)00040-2,6,1996
The locus of implicit causality effects in comprehension,Garnham A.,Journal of Memory and Language,0749596X,35,517-543,1996-01-01,August 1996,10.1006/jmla.1996.0028,91,1996
Vulnerability of Contrast Tests to Simpler Interpretations: An Addendum to Rosnow and Rosenthal,Abelson R.,Psychological Science,09567976,7,242-246,1996-01-01,July 1996,10.1111/j.1467-9280.1996.tb00367.x,19,1996
True imitative learning in pigeons,Zentall T.,Psychological Science,09567976,7,343-346,1996-01-01,November 1996,10.1111/j.1467-9280.1996.tb00386.x,100,1996
"Participation rates and maximal performance: A Log-Linear Explanation for Group Differences, Such as Russian and Male Dominance in Chess",Charness N.,Psychological Science,09567976,7,46-51,1996-01-01,January 1996,10.1111/j.1467-9280.1996.tb00665.x,50,1996
Exchange patterns in the oral discourse of international students in university classrooms,Tapper J.,Discourse Processes,0163853X,22,25-55,1996-01-01,July/August 1996,10.1080/01638539609544965,15,1996
Reinstating knowledge during reading: A strategic process,Mannes S.,Discourse Processes,0163853X,21,105-130,1996-01-01,1996,10.1080/01638539609544951,6,1996
Evaluation of interruption behavior by naive encoders,Coon C.,Discourse Processes,0163853X,22,1-24,1996-01-01,July/August 1996,10.1080/01638539609544964,16,1996
Self-serving bias in attitude judgments: The use of person versus issue implicated language,Martijn C.,Social Cognition,0278016X,14,77-91,1996-01-01,Spring 1996,10.1521/soco.1996.14.1.77,2,1996
Levels in Conceptualizing and Solving Addition and Subtraction Compare Word Problems,Fuson K.C.,Cognition and Instruction,07370008,14,345-371,1996-01-01,1996,10.1207/s1532690xci1403_3,26,1996
Shared realities: Social influence and stimulus memory,Betz A.L.,Social Cognition,0278016X,14,113-140,1996-01-01,Summer 1996,10.1521/soco.1996.14.2.113,65,1996
Failure to find the picture superiority effect in implicit conceptual memory tests,Weldon M.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,670-686,1996-01-01,May 1996,10.1037/0278-7393.22.3.670,105,1996
Effects of background knowledge on category construction,Spalding T.L.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,525-538,1996-01-01,March 1996,10.1037/0278-7393.22.2.525,85,1996
Asymmetries in strength of preference: A focus shift model of valence effects in difference judgments,Yamagishi K.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,493-509,1996-01-01,March 1996,10.1037/0278-7393.22.2.493,10,1996
When is a Direct Test of Memory More Sensitive Than an Indirect Test?,Smith M.C.,Canadian Journal of Experimental Psychology,11961961,50,139-148,1996-01-01,1996,10.1037/1196-1961.50.1.139,4,1996
The case of total deafness II: Phrasing in the prelinguistic vocalizations of a child with congenital absence of cochleas,Lynch M.P.,Applied Psycholinguistics,01427164,17,293-312,1996-01-01,September 1996,10.1017/s0142716400007955,2,1996
Role of Set in Visual Word Recognition: Activation and Activation Blocking as Nonautomatic Processes,Stolz J.A.,Journal of Experimental Psychology: Human Perception and Performance,00961523,22,1166-1177,1996-01-01,October 1996,10.1037/0096-1523.22.5.1166,86,1996
Category representations and the effects of interacting with instances,Ross B.H.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,1249-1265,1996-01-01,September 1996,10.1037/0278-7393.22.5.1249,48,1996
Incomplete Faces Don't Show the Whole Picture: Repetition Priming from Jumbled Faces,Johnston R.A.,Quarterly Journal of Experimental Psychology Section A: Human Experimental Psychology,02724987,49,596-615,1996-01-01,August 1996,10.1080/713755637,16,1996
Music-dependent memory: The roles of tempo change and mood mediation,Balch W.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,1354-1363,1996-01-01,November 1996,10.1037/0278-7393.22.6.1354,70,1996
"A Probabilistic Interpretation of ""If-Then""",Liu I.M.,Quarterly Journal of Experimental Psychology Section A: Human Experimental Psychology,02724987,49,828-844,1996-01-01,August 1996,10.1080/713755646,84,1996
A New Look at Anchoring Effects: Basic Anchoring and Its Antecedents,Wilson T.,Journal of Experimental Psychology: General,00963445,125,387-402,1996-01-01,December 1996,10.1037/0096-3445.125.4.387,519,1996
Bias Effects in Implicit Memory Tasks,Ratcliff R.,Journal of Experimental Psychology: General,00963445,125,403-421,1996-01-01,December 1996,10.1037/0096-3445.125.4.403,84,1996
"On assumptions of, relations between, and evaluations of some process dissociation measurement models",Buchner A.,Consciousness and Cognition,10538100,5,581-594,1996-01-01,December 1996,10.1006/ccog.1996.0034,17,1996
The learnability of the alphabetic principle: Children's initial hypotheses about how print represents spoken language,Byrne B.,Applied Psycholinguistics,01427164,17,401-426,1996-01-01,December 1996,10.1017/s0142716400008171,53,1996
List learning of second language vocabulary,Griffin G.,Applied Psycholinguistics,01427164,17,443-460,1996-01-01,December 1996,10.1017/s0142716400008195,77,1996
Promoting idea production by novice writers through the use of discourse-related prompts,Bakunas B.,Applied Psycholinguistics,01427164,17,385-400,1996-01-01,December 1996,10.1017/s014271640000816x,3,1996
The functions of sarcastic irony in speech,Jorgensen J.,Journal of Pragmatics,03782166,26,613-634,1996-01-01,November 1996,10.1016/0378-2166(95)00067-4,177,1996
Sudden insight: All-or-none processing revealed by speed-accuracy decomposition,Smith R.W.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,1443-1462,1996-01-01,November 1996,10.1037/0278-7393.22.6.1443,107,1996
Partial matching in the Moses illusion: Response bias not sensitivity,Kamas E.N.,Memory and Cognition,0090502X,24,687-699,1996-01-01,November 1996,10.3758/BF03201094,77,1996
Evidence of deontic reasoning in 3- and 4-year-old children,Cummins D.,Memory and Cognition,0090502X,24,823-829,1996-01-01,November 1996,10.3758/BF03201105,110,1996
'Pragmatic weight' and Spanish subject pronouns: The pragmatic and discourse uses of 'tú' and 'yo' in spoken Madrid Spanish,Davidson B.,Journal of Pragmatics,03782166,26,543-565,1996-01-01,October 1996,10.1016/0378-2166(95)00063-1,73,1996
"Focus, pragmatic presupposition, and activated propositions",Dryer M.S.,Journal of Pragmatics,03782166,26,475-523,1996-01-01,October 1996,10.1016/0378-2166(95)00059-3,114,1996
Pitch downtrend in Spanish,Prieto P.,Journal of Phonetics,00954470,24,445-473,1996-01-01,October 1996,10.1006/jpho.1996.0024,72,1996
Perception of Auditory-Visual Temporal Synchrony in Human Infants,Lewkowicz D.,Journal of Experimental Psychology: Human Perception and Performance,00961523,22,1094-1106,1996-01-01,October 1996,10.1037/0096-1523.22.5.1094,224,1996
Retroactive interference effects of surprising reward omission on serial spatial memory,Terry W.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,22,472-479,1996-01-01,1996,10.1037/0097-7403.22.4.472,2,1996
Aligning as a team in multiparty conversation,Kangasharju H.,Journal of Pragmatics,03782166,26,291-319,1996-01-01,September 1996,10.1016/0378-2166(95)00051-8,62,1996
Pragmatic interpretations of structural topics and relativization in Chinese,Chen P.,Journal of Pragmatics,03782166,26,389-406,1996-01-01,September 1996,10.1016/0378-2166(95)00042-9,25,1996
"Imagery, creativity, and emergent structure",Finke R.,Consciousness and Cognition,10538100,5,381-393,1996-01-01,September 1996,10.1006/ccog.1996.0024,222,1996
Conceptual metaphors and figurative language interpretation: Food for thought?,McGlone M.,Journal of Memory and Language,0749596X,35,544-565,1996-01-01,August 1996,10.1006/jmla.1996.0029,68,1996
Prosody and adults' learning of syntactic structure,Valian V.,Journal of Memory and Language,0749596X,35,497-516,1996-01-01,August 1996,10.1006/jmla.1996.0027,20,1996
Effects of Perceptual and Conceptual Processing on Memory for Words and Voice: Different Patterns for Young and Old,Naveh-Benjamin M.,Quarterly Journal of Experimental Psychology Section A: Human Experimental Psychology,02724987,49,780-796,1996-01-01,August 1996,10.1080/713755640,24,1996
"Emergent Simple Discriminations and Conditional Relations in Children, Intellectually Impaired Adults, and Normal Adults",Smeets P.M.,Quarterly Journal of Experimental Psychology Section B: Comparative and Physiological Psychology,02724995,49,201-219,1996-01-01,August 1996,NA,8,1996
Summation of activation: Evidence from multiple primes that converge and diverge within semantic memory,Balota D.A.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,827-845,1996-01-01,July 1996,10.1037/0278-7393.22.4.827,136,1996
Acoustic and perceptual evidence for complete neutralization of manner of articulation in Korean,Kim H.,Journal of Phonetics,00954470,24,295-312,1996-01-01,July 1996,10.1006/jpho.1996.0016,33,1996
"Intention, history, and artifact concepts",Bloom P.,Cognition,00100277,60,1-29,1996-01-01,July 1996,10.1016/0010-0277(95)00699-0,392,1996
When in Rome: Evaluations of L2 pragmalinguistic behaviors,Hinkel E.,Journal of Pragmatics,03782166,26,51-70,1996-01-01,July 1996,10.1016/0378-2166(95)00043-7,41,1996
The Italian indicativo imperfetto compared to the Finnish conditional verb form - Evidence from child language,Kauppinen A.,Journal of Pragmatics,03782166,26,109-136,1996-01-01,July 1996,10.1016/0378-2166(95)00039-9,6,1996
Pragmatic determinants of syntactic subject in English,Kim M.H.,Journal of Pragmatics,03782166,25,839-854,1996-01-01,June 1996,10.1016/0378-2166(95)00018-6,6,1996
The illusory-knowledge effect,Begg I.,Journal of Memory and Language,0749596X,35,410-433,1996-01-01,June 1996,10.1006/jmla.1996.0023,22,1996
Indeterminacy in the grammar of adult language learners,Johnson J.,Journal of Memory and Language,0749596X,35,335-352,1996-01-01,June 1996,10.1006/jmla.1996.0019,65,1996
Proper names and definite descriptions with the same reference: A pragmatic choice for language users,Allerton D.,Journal of Pragmatics,03782166,25,621-633,1996-01-01,May 1996,10.1016/0378-2166(94)00103-0,19,1996
Spatial Orienting Controlled without Awareness: A Semantically Based Implicit Learning Effect,Lambert A.J.,Quarterly Journal of Experimental Psychology Section A: Human Experimental Psychology,02724987,49,490-518,1996-01-01,May 1996,10.1080/713755621,43,1996
The audience shaping of text-strategies in spoken discourse: Adults vs. children addressees and the case of modern Greek,Georgakopoulou A.,Journal of Pragmatics,03782166,25,649-674,1996-01-01,May 1996,10.1016/0378-2166(95)00135-2,2,1996
Preferred argument structure and subject role in American English conversational discourse,Kärkkäinen E.,Journal of Pragmatics,03782166,25,675-701,1996-01-01,May 1996,10.1016/0378-2166(95)00010-0,21,1996
Relevance and infinity: Implications for discourse interpretation,Jaszczolt K.,Journal of Pragmatics,03782166,25,703-722,1996-01-01,May 1996,10.1016/0378-2166(94)00104-9,13,1996
Misinformation effects in recall: Creating false memories through repeated retrieval,Roediger H.,Journal of Memory and Language,0749596X,35,300-318,1996-01-01,April 1996,10.1006/jmla.1996.0017,128,1996
Emotional focus and source monitoring,Johnson M.,Journal of Memory and Language,0749596X,35,135-156,1996-01-01,April 1996,10.1006/jmla.1996.0008,130,1996
Creating Illusions of Familiarity in a Cued Recall Remember/Know Paradigm,Lindsay D.S.,Journal of Memory and Language,0749596X,35,197-211,1996-01-01,April 1996,10.1006/jmla.1996.0011,100,1996
The persistence of false memories in list recall,McDermott K.,Journal of Memory and Language,0749596X,35,212-230,1996-01-01,April 1996,10.1006/jmla.1996.0012,289,1996
When do speakers take into account common ground?,Horton W.S.,Cognition,00100277,59,91-117,1996-01-01,April 1996,10.1016/0010-0277(96)81418-1,410,1996
Divided and focused attention in patients with lesion of the prefrontal cortex,Godefroy O.,Brain and Cognition,02782626,30,155-174,1996-01-01,March 1996,10.1006/brcg.1996.0010,92,1996
Metalinguistic negation and echoic use,Carston R.,Journal of Pragmatics,03782166,25,309-330,1996-01-01,March 1996,10.1016/0378-2166(94)00109-X,128,1996
Visual Specificity Effects on Word Stem Completion: Beyond Transfer Appropriate Processing?,Curran T.,Canadian Journal of Experimental Psychology,11961961,50,22-33,1996-01-01,1996,10.1037/1196-1961.50.1.22,19,1996
Bias in spatial location due to categorization: comment on Tversky and Schiano.,Engebretson P.,Journal of experimental psychology. General,00963445,125,96-108,1996-01-01,Mar 1996,10.1037/0096-3445.125.1.96,44,1996
Categorization and sensitivity to correlation,Anderson J.R.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,259-277,1996-01-01,March 1996,10.1037/0278-7393.22.2.259,41,1996
Reactivating a reactivation theory of implicit memory,Bower G.H.,Consciousness and Cognition,10538100,5,27-72,1996-01-01,March 1996,10.1006/ccog.1996.0004,66,1996
Cleft constructions in spoken language,Weinert R.,Journal of Pragmatics,03782166,25,173-206,1996-01-01,February 1996,10.1016/0378-2166(94)00079-4,36,1996
Perceptual Similarity of Shapes Generated from Fourier Descriptors,Cortese J.M.,Journal of Experimental Psychology: Human Perception and Performance,00961523,22,133-143,1996-01-01,February 1996,10.1037/0096-1523.22.1.133,47,1996
The use of multiple frames in verb learning via syntactic bootstrapping,Naigles L.,Cognition,00100277,58,221-251,1996-01-01,February 1996,10.1016/0010-0277(95)00681-8,167,1996
Rethinking metalinguistic awareness: Representing and accessing knowledge about what counts as a word,Karmiloff-Smith A.,Cognition,00100277,58,197-219,1996-01-01,February 1996,10.1016/0010-0277(95)00680-X,70,1996
Associative retrieval processes in free recall,Kahana M.J.,Memory and Cognition,0090502X,24,103-109,1996-01-01,January 1996,10.3758/bf03197276,461,1996
Attentional focusing with quantifiers in production and comprehension,Sanford A.,Memory and Cognition,0090502X,24,144-155,1996-01-01,March 1996,10.3758/BF03200877,51,1996
Tests of encoding tradeoffs between item and associative information,Hockley W.,Memory and Cognition,0090502X,24,202-216,1996-01-01,March 1996,10.3758/BF03200881,110,1996
"Priming, analogy, and awareness in complex reasoning",Schunn C.D.,Memory and Cognition,0090502X,24,271-284,1996-01-01,May 1996,10.3758/BF03213292,101,1996
Source memory for actions in Alzheimer's disease,Brustrom J.E.,"Aging, Neuropsychology, and Cognition",13825585,3,56-66,1996-01-01,1996,10.1080/13825589608256612,5,1996
Recall of random and distorted chess positions: Implications for the theory of expertise,Gobet F.,Memory and Cognition,0090502X,24,493-503,1996-01-01,July 1996,10.3758/BF03200937,147,1996
Verbal and pictorial elaborations enhance memory in younger and older adults,Cherry K.E.,"Aging, Neuropsychology, and Cognition",13825585,3,15-29,1996-01-01,1996,10.1080/13825589608256609,23,1996
The word-detection effect: Sophisticated guessing or perceptual enhancement?,Prinzmetal W.,Memory and Cognition,0090502X,24,331-341,1996-01-01,May 1996,10.3758/bf03213297,3,1996
When to trust the data: Further investigations of system error in a scientific reasoning task,Penner D.,Memory and Cognition,0090502X,24,655-668,1996-01-01,1996,10.3758/BF03201090,21,1996
Isolated and interrelated concepts,Goldstone R.,Memory and Cognition,0090502X,24,608-628,1996-01-01,1996,10.3758/BF03201087,148,1996
The power of reflexive language(s): Code displacement in reported speech,Álvarez-Cáccamo C.,Journal of Pragmatics,03782166,25,33-59,1996-01-01,January 1996,10.1016/0378-2166(94)00072-X,39,1996
Promises in French children: Comprehension and metapragmatic knowledge,Bemicot J.,Journal of Pragmatics,03782166,25,101-122,1996-01-01,January 1996,10.1016/0378-2166(94)00075-5,27,1996
Direct speech: What's it doing in non-narrative discourse?,Baynham M.,Journal of Pragmatics,03782166,25,61-81,1996-01-01,January 1996,10.1016/0378-2166(94)00074-3,72,1996
A biomechanical and physiologically-based vocal tract model and its control,Wilhelms-Tricarico R.,Journal of Phonetics,00954470,24,23-38,1996-01-01,January 1996,10.1006/jpho.1996.0003,18,1996
Control of tongue movements in speech: The equilibrium point hypothesis perspective,Perrier P.,Journal of Phonetics,00954470,24,53-75,1996-01-01,January 1996,10.1006/jpho.1996.0005,33,1996
Modelling [s] to [∫] accommodation in English,Nolan F.,Journal of Phonetics,00954470,24,113-137,1996-01-01,January 1996,10.1006/jpho.1996.0008,47,1996
Test question modulates cue competition between causes and between effects,Matute H.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,182-196,1996-01-01,January 1996,10.1037/0278-7393.22.1.182,89,1996
Value transfer in a simultaneous discrimination appears to result from within-event pavlovian conditioning,Zentall T.R.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,22,68-75,1996-01-01,1996,10.1037/0097-7403.22.1.68,30,1996
Does recoding interfering material improve recall?,Bower G.,Journal of Experimental Psychology: Learning Memory and Cognition,02787393,22,240-245,1996-01-01,January 1996,10.1037/0278-7393.22.1.240,3,1996
"Sex Differences in Jealousy in Evolutionary and Cultural Perspective: Tests from the Netherlands, Germany, and the United States",Buunk B.,Psychological Science,09567976,7,359-363,1996-01-01,November 1996,10.1111/j.1467-9280.1996.tb00389.x,233,1996
"Superordinate Identification, Subgroup Identification, and Justice Concerns: Is Separatism the Problem; Is Assimilation the Answer?",Huo Y.,Psychological Science,09567976,7,40-45,1996-01-01,January 1996,10.1111/j.1467-9280.1996.tb00664.x,361,1996
Representation of superordinate goal inferences in memory,Dopkins S.,Discourse Processes,0163853X,21,85-104,1996-01-01,1996,10.1080/01638539609544950,13,1996
Gender and aggression in the recognition of interruption,Bresnahan M.I.,Discourse Processes,0163853X,21,171-189,1996-01-01,March/April 1996,10.1080/01638539609544954,15,1996
Effects of evidence on attitudes: Is Polarization the Norm?,Kuhn D.,Psychological Science,09567976,7,115-120,1996-01-01,March 1996,10.1111/j.1467-9280.1996.tb00340.x,79,1996
"The anatomy of disappointment: A naturalistic test of appraisal models of sadness, anger, and hope",Levine L.J.,Cognition and Emotion,02699931,10,337-360,1996-01-01,July 1996,10.1080/026999396380178,86,1996
On resisting the temptation for simplification: Counterintentional effects of stereotype suppression on social memory,Macrae C.,Social Cognition,0278016X,14,1-20,1996-01-01,Spring 1996,10.1521/soco.1996.14.1.1,85,1996
Influence of discourse context on feature availability in conceptual combination,Gagné C.L.,Discourse Processes,0163853X,22,79-101,1996-01-01,July/August 1996,10.1080/01638539609544967,24,1996
Spatial situation models and narrative understanding: Some generalizations and extensions,Rinck M.,Discourse Processes,0163853X,21,23-55,1996-01-01,1996,10.1080/01638539609544948,43,1996
Categorical perception of morphed facial expressions,Calder A.J.,Visual Cognition,13506285,3,81-118,1996-01-01,1996,10.1080/713756735,329,1996
Learned irrelevance: No more than the sum of cs and us preexposure effects?,Bonardi C.,Journal of Experimental Psychology: Animal Behavior Processes,00977403,22,183-191,1996-01-01,1996,10.1037/0097-7403.22.2.183,44,1996
Appraisal determinants of emotions: Constructing a more accurate and comprehensive theory,Roseman I.J.,Cognition and Emotion,02699931,10,241-278,1996-01-01,May 1996,10.1080/026999396380240,674,1996
Reading the mind in the face: A cross-cultural and developmental study,Baron-Cohen S.,Visual Cognition,13506285,3,39-60,1996-01-01,1996,10.1080/713756728,62,1996
Measuring Psychological Uncertainty: Verbal Versus Numeric Methods,Windschitl P.D.,Journal of Experimental Psychology: Applied,1076898X,2,343-364,1996-01-01,December 1996,10.1037/1076-898X.2.4.343,249,1996
"Who reasons well? Two studies of informal reasoning among children of different grade, ability, and knowledge levels",Means M.,Cognition and Instruction,07370008,14,139-178,1996-01-01,1996,10.1207/s1532690xci1402_1,285,1996
Comparing Implicit and Explicit Memory for Brand Names from Advertisements,Krishnan H.S.,Journal of Experimental Psychology: Applied,1076898X,2,147-163,1996-01-01,June 1996,10.1037/1076-898X.2.2.147,52,1996
"Two texts, three readers: Distance and expertise in reading history",Leinhardt G.,Cognition and Instruction,07370008,14,441-486,1996-01-01,1996,10.1207/s1532690xci1404_2,99,1996
"Cognitive, emotional, and language processes in disclosure",Pennebaker J.,Cognition and Emotion,02699931,10,601-626,1996-01-01,November 1996,10.1080/026999396380079,746,1996
REPLICATION and REPORTING,Polio C.,Studies in Second Language Acquisition,02722631,19,499-508,1997-12-01,1 December 1997,10.1017/S027226319700404X,84,1997
ASYMMETRY of NULL SUBJECTS and NULL OBJECTS in CHINESE SPEAKERS' L2 ENGLISH,Yuan B.,Studies in Second Language Acquisition,02722631,19,467-497,1997-12-01,1 December 1997,10.1017/S0272263197004038,42,1997
33. Neural correlates of episodic memory: The effects of divided attention,Mangels J.,Brain and Cognition,02782626,35,395-399,1997-12-01,1997,NA,0,1997
21. Learning new face-name associations with spaced retrieval strategy on a patient with Alzheimer-type dementia,Vanhalle C.,Brain and Cognition,02782626,35,359-361,1997-12-01,1997,NA,3,1997
The Functional Neuroanatomy of Awareness: With a Focus on the Role of Various Anatomical Systems in the Control of Intermodal Attention,Smythies J.,Consciousness and Cognition,10538100,6,455-481,1997-12-01,December 1997,10.1006/ccog.1997.0315,93,1997
"Stimulus Preexposure, Comparison, and Changes in the Associability of Common Stimulus Features",Symonds M.,Quarterly Journal of Experimental Psychology Section B: Comparative and Physiological Psychology,02724995,50,317-331,1997-11-01,November 1997,NA,18,1997
The influence of reference frame selection on spatial template construction,Carlson-Radvansky L.,Journal of Memory and Language,0749596X,37,411-437,1997-10-01,October 1997,10.1006/jmla.1997.2519,103,1997
"Explorations in Virtual Reality: Absorption, Cognition and Altered State of Consciousness",Glicksohn J.,"Imagination, Cognition and Personality",02762366,17,141-151,1997-10-01,October 1997,10.2190/FTUU-GLC5-GBT8-9RUW,34,1997
The Stream of Consciousness: XV. James in Recent Context (1981–1986),Natsoulas T.,"Imagination, Cognition and Personality",02762366,17,123-140,1997-10-01,October 1997,10.2190/8W9P-TGV9-C0AM-M6CK,4,1997
"INPUT, INTAKE, and RETENTION",Watanabe Y.,Studies in Second Language Acquisition,02722631,19,287-307,1997-09-01,1 September 1997,10.1017/S027226319700301X,154,1997
The Stream of Consciousness: XIV. Two Contrasting Accounts of Pervasive Bodily Self-Awareness,Natsoulas T.,"Imagination, Cognition and Personality",02762366,17,45-64,1997-09-01,September 1997,10.2190/KB74-TK3F-MH78-5JFV,2,1997
Response-inhibition in Extinction,Rescorla R.,Quarterly Journal of Experimental Psychology Section B: Comparative and Physiological Psychology,02724995,50,238-252,1997-08-01,August 1997,NA,90,1997
The role of actions in making inferences about the shape and material of solid objects among Japanese 2 year-old children,Kobayashi H.,Cognition,00100277,63,251-269,1997-07-03,3 July 1997,10.1016/S0010-0277(97)00007-3,34,1997
"GENERALIZABILITY and AUTOMATICITY of SECOND LANGUAGE LEARNING under IMPLICIT, INCIDENTAL, ENHANCED, and INSTRUCTED CONDITIONS",Robinson P.,Studies in Second Language Acquisition,02722631,19,223-247,1997-06-01,1 June 1997,10.1017/S0272263197002052,164,1997
